Category,Brand,Product Name,Star Rating,Number of reviews,Description,Product ID,Color,Size,Regular Price,Previous Price,Feature Image URLs,Carousel Image URLs,URL
Hike & Camp / Bags & Backpacks / Backpack Accessories,Decathlon  Forclaz,Forclaz 38 mm Hiking Backpack Quick-Release Buckle,4.56,430,,1157852,Black,1.5 in,$5.99,,https://www.decathlon.com/cdn/shop/files/1157852-product_image-p2572866.jpg?v=1712146784&width=675,"https://www.decathlon.com/cdn/shop/files/1157852-product_image-p2572866.jpg?v=1712146784&width=150, https://www.decathlon.com/cdn/shop/files/1157852-product_image-p1603687.jpg?v=1705421950&width=150, https://www.decathlon.com/cdn/shop/files/1157852-product_image-p1603688.jpg?v=1705421953&width=150",https://www.decathlon.com/collections/backpack-accessories/products/1-38-mm-quick-buckle
Hike & Camp / Bags & Backpacks / Backpack Accessories,Decathlon  Forclaz,Forclaz 70 100 L Basic Hiking Backpack Rain Cover,4.67,242,"Fits on all backpacking backpacks from 70 to 100 L
Weight: 4.4 oz (125 g)
Durability: Coated polyester fabric and rainproof sealed seams
Easy elastic band backpack attachment",8559841,Burnt Orange,One Size,$29.99,,https://www.decathlon.com/cdn/shop/files/8559841-product_image-p2572852.jpg?v=1712057811&width=675,"https://www.decathlon.com/cdn/shop/files/8559841-product_image-p2572852.jpg?v=1712057811&width=150, https://www.decathlon.com/cdn/shop/files/8559841-product_image-p1770545.jpg?v=1712057814&width=150, https://www.decathlon.com/cdn/shop/files/8559841-product_image-p1770516.jpg?v=1712057817&width=150",https://www.decathlon.com/collections/backpack-accessories/products/backpacking-basic-rain-cover-for-backpack-70-100-l-309828
Hike & Camp / Bags & Backpacks / Hiking Backpacks,Decathlon  Quechua,Quechua MH500 22L Lightweight Hiking Backpack,4.64,36,"Adjustable padded straps-designed for greater freedom of movement
6 x Pockets I 1 x Water Bladder Compartment (bladder not included) I Pole Attachments
Weight: 27.5 oz",8826305,Laurel Green,One Size,$89.99,,https://www.decathlon.com/cdn/shop/files/8826305-product_image-p2612825.jpg?v=1712570782&width=675,"https://www.decathlon.com/cdn/shop/files/8826305-product_image-p2612825.jpg?v=1712570782&width=150, https://www.decathlon.com/cdn/shop/files/8826305-product_image-p2612839.jpg?v=1712708476&width=150, https://www.decathlon.com/cdn/shop/files/8826305-product_image-p2651421.jpg?v=1712852999&width=150, https://www.decathlon.com/cdn/shop/files/8826305-product_image-p2612841.jpg?v=1712852999&width=150, https://www.decathlon.com/cdn/shop/files/8826305-product_image-p2612827.jpg?v=1712852999&width=150, https://www.decathlon.com/cdn/shop/files/8826305-product_image-p2612840.jpg?v=1712708478&width=150, https://www.decathlon.com/cdn/shop/files/8826305-product_image-p2612826.jpg?v=1712708481&width=150, https://www.decathlon.com/cdn/shop/files/8826305-product_image-p2612836.jpg?v=1712708483&width=150, https://www.decathlon.com/cdn/shop/files/8826305-product_image-p2612828.jpg?v=1712708486&width=150, https://www.decathlon.com/cdn/shop/files/8826305-product_image-p2612829.jpg?v=1712708487&width=150, https://www.decathlon.com/cdn/shop/files/8826305-product_image-p2612830.jpg?v=1712708489&width=150, https://www.decathlon.com/cdn/shop/files/8826305-product_image-p2612832.jpg?v=1712708492&width=150, https://www.decathlon.com/cdn/shop/files/8826305-product_image-p2612831.jpg?v=1712708494&width=150, https://www.decathlon.com/cdn/shop/files/8826305-product_image-p2612834.jpg?v=1712708496&width=150, https://www.decathlon.com/cdn/shop/files/8826305-product_image-p2612838.jpg?v=1714649202&width=150",https://www.decathlon.com/collections/all-hiking-backpacks/products/quechua-mh500-22l-lightweight-hiking-backpack-346030
Hike & Camp / Bags & Backpacks / Backpack Accessories,Decathlon  Forclaz,Forclaz Travel 900 Spare Backpack Pouch,1.0,1,"Back-up bag compatible with the Travel 900 50/60/70 L
Volume: 6 L",8766039,Black,One Size,$39.99,,https://www.decathlon.com/cdn/shop/files/8766039-product_image-p2606501.jpg?v=1714385301&width=675,"https://www.decathlon.com/cdn/shop/files/8766039-product_image-p2606501.jpg?v=1714385301&width=150, https://www.decathlon.com/cdn/shop/files/8766039-product_image-p2422862.jpg?v=1714385304&width=150, https://www.decathlon.com/cdn/shop/files/8766039-product_image-p2422861.jpg?v=1714385307&width=150, https://www.decathlon.com/cdn/shop/files/8766039-product_image-p2422858.jpg?v=1714385309&width=150, https://www.decathlon.com/cdn/shop/files/8766039-product_image-p2422859.jpg?v=1714385312&width=150",https://www.decathlon.com/collections/backpack-accessories/products/forclaz-unisex-removable-pouch-travel-900-50-60-70-l-342902
Hike & Camp / Bags & Backpacks / Backpack Accessories,Decathlon  Forclaz,Forclaz Multipocket Travel Bag,4.59,4018,"Multiple compartments: 3 Pockets and 1 Inner Compartment.
Weight: 4 oz (113 g) Dimensions: 6.3” x 7.1” x 1.6”
Easy to open/close: velcro and zipper closing system to secure some of the pockets",8619465,Black,One Size,$19.99,,https://www.decathlon.com/cdn/shop/files/8619465-product_image-p2621119.jpg?v=1712056095&width=675,"https://www.decathlon.com/cdn/shop/files/8619465-product_image-p2621119.jpg?v=1712056095&width=150, https://www.decathlon.com/cdn/shop/files/8619465-product_image-p1942059.jpg?v=1711015370&width=150, https://www.decathlon.com/cdn/shop/files/8619465-product_image-p1926518.jpg?v=1711015373&width=150, https://www.decathlon.com/cdn/shop/files/8619465-product_image-p1926516.jpg?v=1711015377&width=150, https://www.decathlon.com/cdn/shop/files/8619465-product_image-p1926517.jpg?v=1711015380&width=150, https://www.decathlon.com/cdn/shop/files/8619465-product_image-p1926515.jpg?v=1711015383&width=150, https://www.decathlon.com/cdn/shop/files/8619465-product_image-p1926514.jpg?v=1711015387&width=150",https://www.decathlon.com/collections/backpack-accessories/products/forclaz-multipocket-travel-bag-123350
Hike & Camp / Bags & Backpacks / Backpack Accessories,Decathlon  Quechua,Quechua 10-20 L Hiking Backpack Rain Cover,4.73,491,"Coated fabric protects your backpack against the rain.
Suitable for all 10 to 20 L backpacks.
2 elasticated hooks to attach around your backpack's shoulder straps.",8772113,Lime Yellow,One Size,$12.99,,https://www.decathlon.com/cdn/shop/files/8772113-product_image-p2583223.jpg?v=1712146490&width=675,"https://www.decathlon.com/cdn/shop/files/8772113-product_image-p2583223.jpg?v=1712146490&width=150, https://www.decathlon.com/cdn/shop/files/8772113-product_image-p2431722.jpg?v=1704215909&width=150, https://www.decathlon.com/cdn/shop/files/8772113-product_image-p2431724.jpg?v=1704215909&width=150",https://www.decathlon.com/collections/backpack-accessories/products/rain-cover-for-hiking-backpack-10-20-l-343666
Hike & Camp / Bags & Backpacks / Backpack Accessories,Decathlon  Forclaz,Forclaz 40 60 L Basic Hiking Backpack Rain Cover,4.52,860,"Compatibility:  Fits all backpacking backpacks from 40 to 60 L
Easy to use: Easy elastic band backpack attachment
Durability: Coated polyester fabric and rainproof sealed seams
Weight: 4.1 oz (116 g)",8559822,Burnt Orange,One Size,$24.99,,https://www.decathlon.com/cdn/shop/files/8559822-product_image-p2573136.jpg?v=1712144516&width=675,"https://www.decathlon.com/cdn/shop/files/8559822-product_image-p2573136.jpg?v=1712144516&width=150, https://www.decathlon.com/cdn/shop/files/8559822-product_image-p1770536.jpg?v=1712144519&width=150, https://www.decathlon.com/cdn/shop/files/8559822-product_image-p1770549.jpg?v=1712144522&width=150",https://www.decathlon.com/collections/backpack-accessories/products/backpacking-basic-rain-cover-for-backpack-40-60-l-309834
Hike & Camp / Bags & Backpacks / Hiking Backpacks,Decathlon  Quechua,Quechua MH900 25 L Hiking Backpack,4.67,21,"8 Pockets -1 water bladder compartment (not included)- pole attachments
This hiking bag weighs just 2.14 lb",8851898,Zinc Gray,One Size,$129.00,,https://www.decathlon.com/cdn/shop/files/8851898-product_image-p2612847.jpg?v=1722852382&width=675,"https://www.decathlon.com/cdn/shop/files/8851898-product_image-p2612847.jpg?v=1722852382&width=150, https://www.decathlon.com/cdn/shop/files/8851898-product_image-p2612857.jpg?v=1722852388&width=150, https://www.decathlon.com/cdn/shop/files/8851898-product_image-p2651430.jpg?v=1722852390&width=150, https://www.decathlon.com/cdn/shop/files/8851898-product_image-p2612843.jpg?v=1722852395&width=150, https://www.decathlon.com/cdn/shop/files/8851898-product_image-p2612846.jpg?v=1722852400&width=150, https://www.decathlon.com/cdn/shop/files/8851898-product_image-p2612859.jpg?v=1722852404&width=150, https://www.decathlon.com/cdn/shop/files/8851898-product_image-p2612854.jpg?v=1722852409&width=150, https://www.decathlon.com/cdn/shop/files/8851898-product_image-p2612856.jpg?v=1722852413&width=150, https://www.decathlon.com/cdn/shop/files/8851898-product_image-p2612858.jpg?v=1722852418&width=150, https://www.decathlon.com/cdn/shop/files/8851898-product_image-p2612845.jpg?v=1722852423&width=150, https://www.decathlon.com/cdn/shop/files/8851898-product_image-p2612844.jpg?v=1722852429&width=150, https://www.decathlon.com/cdn/shop/files/8851898-product_image-p2612855.jpg?v=1722852434&width=150, https://www.decathlon.com/cdn/shop/files/8851898-product_image-p2612853.jpg?v=1722852439&width=150, https://www.decathlon.com/cdn/shop/files/8851898-product_image-p2612852.jpg?v=1722852444&width=150, https://www.decathlon.com/cdn/shop/files/8851898-product_image-p2612850.jpg?v=1722852449&width=150",https://www.decathlon.com/collections/all-hiking-backpacks/products/quechua-mh900-25-l-hiking-backpack-324604
Hike & Camp / Bags & Backpacks / Backpack Accessories,Decathlon  Forclaz,Forclaz 40-90 L Hiking Backpack Cover,4.53,945,"Protects bags from 40 to 70 L
Multiple compartments: 1 x Central Compartment I 1 x Pocket
Easy to open/close lockable ZIP closure.
Weight: 20 oz (598 g)",8579847,Carbon Gray,One Size,$34.99,,https://www.decathlon.com/cdn/shop/files/8579847-product_image-p2621099.jpg?v=1712228892&width=675,"https://www.decathlon.com/cdn/shop/files/8579847-product_image-p2621099.jpg?v=1712228892&width=150, https://www.decathlon.com/cdn/shop/files/8579847-product_image-p1798223.jpg?v=1700655612&width=150, https://www.decathlon.com/cdn/shop/files/8579847-product_image-p1798219.jpg?v=1700655613&width=150, https://www.decathlon.com/cdn/shop/files/8579847-product_image-p1798201.jpg?v=1700655613&width=150, https://www.decathlon.com/cdn/shop/files/8579847-product_image-p1798233.jpg?v=1700655613&width=150, https://www.decathlon.com/cdn/shop/files/8579847-product_image-p1798224.jpg?v=1700655613&width=150",https://www.decathlon.com/collections/backpack-accessories/products/backpacking-plane-cover-for-backpack-40-to-90-liters-123355
Hike & Camp / Bags & Backpacks / Hiking Backpacks,Decathlon  Quechua,Quechua NH Arpenaz 100 20 L Hiking Backpack,4.66,22760,"Carrying comfort: Foam back - 2 pads | Foam straps | 2 Thumb loops | Chest strap
Ventilation: 2 pads providing some ventilation of the back
Abrasion resistant: Abrasion-resistant component (bottom and back) | 10-year warranty","8754109, 8752122, 8731516, 8789426, 8844387","Black, Storm Gray, Dark Blue, Ochre, Beetroot","20 L, 20 L, 20 L, 20 L, 20 L","$9.00, $16.99, $16.99, $16.99, $16.99",$16.99,https://www.decathlon.com/cdn/shop/files/8754109-product_image-p2583283.jpg?v=1722358239&width=675,"https://www.decathlon.com/cdn/shop/files/8754109-product_image-p2583283.jpg?v=1722358239&width=150, https://www.decathlon.com/cdn/shop/files/8754109-product_image-p1956826.jpg?v=1722358242&width=150, https://www.decathlon.com/cdn/shop/files/8754109-product_image-p2254030.jpg?v=1722358244&width=150, https://www.decathlon.com/cdn/shop/files/8754109-product_image-p1758100.jpg?v=1722358248&width=150, https://www.decathlon.com/cdn/shop/files/8754109-product_image-p1758093.jpg?v=1722358251&width=150, https://www.decathlon.com/cdn/shop/files/8754109-product_image-p1637106.jpg?v=1722358254&width=150, https://www.decathlon.com/cdn/shop/files/8754109-product_image-p1637107.jpg?v=1722358257&width=150, https://www.decathlon.com/cdn/shop/files/8754109-product_image-p1758099.jpg?v=1722358261&width=150, https://www.decathlon.com/cdn/shop/files/8754109-product_image-p1758097.jpg?v=1722358264&width=150",https://www.decathlon.com/collections/all-hiking-backpacks/products/quechua-nh-arpenaz-100-20-l-hiking-backpack-301674
Hike & Camp / Bags & Backpacks / Daypacks,Decathlon  Quechua,Quechua MH500 22L Lightweight Hiking Backpack,4.64,36,"Adjustable padded straps-designed for greater freedom of movement
6 x Pockets I 1 x Water Bladder Compartment (bladder not included) I Pole Attachments
Weight: 27.5 oz",8826305,Laurel Green,One Size,$89.99,,https://www.decathlon.com/cdn/shop/files/8826305-product_image-p2612825.jpg?v=1712570782&width=675,"https://www.decathlon.com/cdn/shop/files/8826305-product_image-p2612825.jpg?v=1712570782&width=150, https://www.decathlon.com/cdn/shop/files/8826305-product_image-p2612839.jpg?v=1712708476&width=150, https://www.decathlon.com/cdn/shop/files/8826305-product_image-p2651421.jpg?v=1712852999&width=150, https://www.decathlon.com/cdn/shop/files/8826305-product_image-p2612841.jpg?v=1712852999&width=150, https://www.decathlon.com/cdn/shop/files/8826305-product_image-p2612827.jpg?v=1712852999&width=150, https://www.decathlon.com/cdn/shop/files/8826305-product_image-p2612840.jpg?v=1712708478&width=150, https://www.decathlon.com/cdn/shop/files/8826305-product_image-p2612826.jpg?v=1712708481&width=150, https://www.decathlon.com/cdn/shop/files/8826305-product_image-p2612836.jpg?v=1712708483&width=150, https://www.decathlon.com/cdn/shop/files/8826305-product_image-p2612828.jpg?v=1712708486&width=150, https://www.decathlon.com/cdn/shop/files/8826305-product_image-p2612829.jpg?v=1712708487&width=150, https://www.decathlon.com/cdn/shop/files/8826305-product_image-p2612830.jpg?v=1712708489&width=150, https://www.decathlon.com/cdn/shop/files/8826305-product_image-p2612832.jpg?v=1712708492&width=150, https://www.decathlon.com/cdn/shop/files/8826305-product_image-p2612831.jpg?v=1712708494&width=150, https://www.decathlon.com/cdn/shop/files/8826305-product_image-p2612834.jpg?v=1712708496&width=150, https://www.decathlon.com/cdn/shop/files/8826305-product_image-p2612838.jpg?v=1714649202&width=150",https://www.decathlon.com/collections/daypacks/products/quechua-mh500-22l-lightweight-hiking-backpack-346030
Hike & Camp / Bags & Backpacks / Women's Backpacks,Decathlon  Forclaz,Forclaz Women's Ultralight Backpacking Backpack 45+10 L - MT900 UL,4.36,56,"This backpack is made for multiple days hiking or trekking in autonomy. You can carry everything you need to camp, drink and eat on your back with comfort.
The MT900 ULTRALIGHT only weighs 2.9 lbs and can contain a total volume of 45 liters which we recommend for a trip under 2 weeks long. The top of the bag is adjustable and can hold an extra 10 liters of volume.
This backpack has plenty of features if you are looking for a lightweight technical option at a great price: AIR concept back ventilation, rain cover, water bottle holder, hiking poles holder, 7 pockets and a compartment for a water bladder for easy hydration.
The AIR concept: in order for your back to dry faster, we added a mesh on top of a ventilated structure. Ideal for long and sweaty day hikes from one camp to another !
This is a women's backpack: This bag has been conceived for a masculine morphology (torso and hips). We recommend to consider the users physical morphology when you choose a bag for comfort purposes when carrying it on your back.
10-year warranty: the fabric of the bag is ultra resistant and Decathlon is proud to offer this warranty for any defect that could appear in the next 10 years.",8642604,Steel Gray,45+10 L,$179.00,,https://www.decathlon.com/cdn/shop/files/8642604-product_image-p2687659.jpg?v=1714475875&width=675,"https://www.decathlon.com/cdn/shop/files/8642604-product_image-p2687659.jpg?v=1714475875&width=150, https://www.decathlon.com/cdn/shop/files/8642604-product_image-p2687660.jpg?v=1714475882&width=150, https://www.decathlon.com/cdn/shop/files/8642604-product_image-p2687657.jpg?v=1714475888&width=150, https://www.decathlon.com/cdn/shop/files/8642604-product_image-p2687656.jpg?v=1714475894&width=150, https://www.decathlon.com/cdn/shop/files/8642604-product_image-p2687655.jpg?v=1714475900&width=150, https://www.decathlon.com/cdn/shop/files/8642604-product_image-p2480658.jpg?v=1700742157&width=150, https://www.decathlon.com/cdn/shop/files/8642604-product_image-p2687936.jpg?v=1714475907&width=150, https://www.decathlon.com/cdn/shop/files/8642604-product_image-p2687658.jpg?v=1714475914&width=150",https://www.decathlon.com/collections/womens-backpacks-and-bags/products/forclaz-womens-mt900-ul-backpacking-45-10-l-backpack-332261
Hike & Camp / Bags & Backpacks / Women's Backpacks,Decathlon  Forclaz,Forclaz Women's Travel 900 50 L Backpacking Pack,4.67,96,"This backpack is ideal for traveling and going from one place to another without having to hike for too long: very robust and practical, your can transport all your belongings. Comes with a waterproof cover.
The Travel 900 50 + 6 L only weighs 5 lbs and can contain a total volume of 50 liters which we recommend for trips over 2 weeks. The top of the bag is detachable to be used as a daypack and can contain 6 extra liters.
Suitcase opening for a better organization of your belongings inside the backpack with safety lock holes in the zippers to prevent theft.
The EASYFIT technology allows you to simultaneously adjust the back and the straps of the bag by pulling the 2 straps located on each side of the bag
This is a women's backpack: This bag has been conceived for a masculine morphology (torso and hips). We recommend to consider the users physical morphology when you choose a bag for comfort purposes when carrying it on your back.
10-year warranty: the fabric of the bag is ultra resistant and Decathlon is proud to offer this warranty for any defect that could appear in the next 10 years.",8616394,Abyss Gray,One Size,$149.00,,https://www.decathlon.com/cdn/shop/files/8616394-product_image-p2605019.jpg?v=1713997802&width=675,"https://www.decathlon.com/cdn/shop/files/8616394-product_image-p2605019.jpg?v=1713997802&width=150, https://www.decathlon.com/cdn/shop/files/8616394-product_image-p2585146.jpg?v=1713997802&width=150, https://www.decathlon.com/cdn/shop/files/8616394-product_image-p2605022.jpg?v=1710243413&width=150, https://www.decathlon.com/cdn/shop/files/8616394-product_image-p2605018.jpg?v=1710243407&width=150, https://www.decathlon.com/cdn/shop/files/8616394-product_image-p2605017.jpg?v=1713997802&width=150, https://www.decathlon.com/cdn/shop/files/8616394-product_image-p2605020.jpg?v=1710243417&width=150, https://www.decathlon.com/cdn/shop/files/8616394-product_image-p2605027.jpg?v=1713997802&width=150, https://www.decathlon.com/cdn/shop/files/8616394-product_image-p2660147.jpg?v=1710243422&width=150, https://www.decathlon.com/cdn/shop/files/8616394-product_image-p2605016.jpg?v=1710243428&width=150, https://www.decathlon.com/cdn/shop/files/8616394-product_image-p2605021.jpg?v=1710243433&width=150, https://www.decathlon.com/cdn/shop/files/8616394-product_image-p2605029.jpg?v=1710243438&width=150, https://www.decathlon.com/cdn/shop/files/8616394-product_image-p2605030.jpg?v=1710243443&width=150, https://www.decathlon.com/cdn/shop/files/8616394-product_image-p2605028.jpg?v=1710243447&width=150",https://www.decathlon.com/collections/womens-backpacks-and-bags/products/forclaz-womens-travel-900-50-l-backpacking-pack-324164
Hike & Camp / Bags & Backpacks / Women's Backpacks,Decathlon  Forclaz,Forclaz Women's Travel 900 60 + 6 L Backpacking Pack,4.68,121,"This backpack is ideal for travelling and going from one place to another without having to hike for too long: very robust and practical, your can transport all your belongings. Comes with a waterproof cover.
The Travel 900 60+6 only weighs 5.3 lbs and can contain a total volume of 60 liters which we recommend for trips over 2 weeks. The top of the bag is detachable to be used as a daypack and can contain 6 extra liters.
Suitcase opening for a better organization of your belongings inside the backpack with safety lock holes in the zippers to prevent theft.
The EASYFIT technology allows you to simultaneaously adjust the back and the straps of the bag by pulling the 2 straps located on each side of the bag
This is a women's backpack: This bag has been conceived for a feminine morphology (torso and hips). We recommend to consider the users physical morphology when you choose a bag for comfort purposes when carrying it on your back.
10-year warranty: the fabric of the bag is ultra resistant and Decathlon is proud to offer this warranty for any defect that could appear in the next 10 years.",8580010,Dark Pink,60 + 6 L,$169.00,,https://www.decathlon.com/cdn/shop/files/8580010-product_image-p2606527.jpg?v=1712058303&width=675,"https://www.decathlon.com/cdn/shop/files/8580010-product_image-p2606527.jpg?v=1712058303&width=150, https://www.decathlon.com/cdn/shop/files/8580010-product_image-p2210181.jpg?v=1701087954&width=150, https://www.decathlon.com/cdn/shop/files/8580010-product_image-p2479901.jpg?v=1701087952&width=150, https://www.decathlon.com/cdn/shop/files/8580010-product_image-p2420512.jpg?v=1701087952&width=150, https://www.decathlon.com/cdn/shop/files/8580010-product_image-p2420511.jpg?v=1701087952&width=150, https://www.decathlon.com/cdn/shop/files/8580010-product_image-p2420510.jpg?v=1701087952&width=150, https://www.decathlon.com/cdn/shop/files/8580010-product_image-p2480607.jpg?v=1701087951&width=150, https://www.decathlon.com/cdn/shop/files/8580010-product_image-p2420509.jpg?v=1701087953&width=150, https://www.decathlon.com/cdn/shop/files/8580010-product_image-p2420508.jpg?v=1701087953&width=150, https://www.decathlon.com/cdn/shop/files/8580010-product_image-p2420507.jpg?v=1701087953&width=150, https://www.decathlon.com/cdn/shop/files/8580010-product_image-p2210186.jpg?v=1701087953&width=150, https://www.decathlon.com/cdn/shop/files/8580010-product_image-p2511227.jpg?v=1701087954&width=150, https://www.decathlon.com/cdn/shop/files/8580010-product_image-p2511330.jpg?v=1701087954&width=150, https://www.decathlon.com/cdn/shop/files/8580010-product_image-p2512796.jpg?v=1701087954&width=150, https://www.decathlon.com/cdn/shop/files/8580010-product_image-p2479818.jpg?v=1712058320&width=150",https://www.decathlon.com/collections/womens-backpacks-and-bags/products/forclaz-travel-trekking-900-606-l-backpack-324138
Hike & Camp / Bags & Backpacks / Women's Backpacks,Decathlon  Forclaz,Forclaz Women's MT100 Easyfit 50 L Backpacking Pack,4.62,574,"This backpack is made for multiple days hiking or trekking in autonomy. You can carry everything you need to camp, drink and eat on your back with comfort.
The MT100 only weighs 3.5 lbs and can contain a total volume of 50 liters which we recommend for a trip up to 2 weeks.
This backpack has the essential features if you are looking for a budget-friendly option: back ventilation, rain cover, water bottle holder, hiking poles holder, external pockets and a compartment for a water bladder for easy hydration.
The EASYFIT technology allows you to simultaneaously adjust the back and the straps of the bag by pulling the 2 straps located on each side of the bag.
This is a women's backpack: This bag has been conceived for a masculine morphology (torso and hips). We recommend to consider the users physical morphology when you choose a bag for comfort purposes when carrying it on your back.
10-year warranty: the fabric of the bag is ultra resistant and Decathlon is proud to offer this warranty for any defect that could appear in the next 10 years.",8731062,Bordeaux,One Size,$99.99,,https://www.decathlon.com/cdn/shop/files/8731062-product_image-p2606907.jpg?v=1712144466&width=675,"https://www.decathlon.com/cdn/shop/files/8731062-product_image-p2606907.jpg?v=1712144466&width=150, https://www.decathlon.com/cdn/shop/files/8731062-product_image-p2480666.jpg?v=1703075280&width=150, https://www.decathlon.com/cdn/shop/files/8731062-product_image-p2209083.jpg?v=1703075280&width=150, https://www.decathlon.com/cdn/shop/files/8731062-product_image-p2209082.jpg?v=1703075281&width=150, https://www.decathlon.com/cdn/shop/files/8731062-product_image-p2209081.jpg?v=1703075281&width=150, https://www.decathlon.com/cdn/shop/files/8731062-product_image-p2209080.jpg?v=1703075281&width=150, https://www.decathlon.com/cdn/shop/files/8731062-product_image-p2209079.jpg?v=1703075281&width=150, https://www.decathlon.com/cdn/shop/files/8731062-product_image-p2209078.jpg?v=1703075282&width=150, https://www.decathlon.com/cdn/shop/files/8731062-product_image-p2209077.jpg?v=1703075282&width=150, https://www.decathlon.com/cdn/shop/files/8731062-product_image-p2209076.jpg?v=1703075282&width=150, https://www.decathlon.com/cdn/shop/files/8731062-product_image-p2209075.jpg?v=1703075283&width=150, https://www.decathlon.com/cdn/shop/files/8731062-product_image-p2209074.jpg?v=1703075283&width=150, https://www.decathlon.com/cdn/shop/files/8731062-product_image-p2209073.jpg?v=1703075283&width=150, https://www.decathlon.com/cdn/shop/files/8731062-product_image-p2209072.jpg?v=1703075283&width=150, https://www.decathlon.com/cdn/shop/files/8731062-product_image-p2209071.jpg?v=1703075284&width=150",https://www.decathlon.com/collections/womens-backpacks-and-bags/products/forclaz-womens-mt100-easyfit-50-l-backpacking-pack-309825
Hike & Camp / Bags & Backpacks / Backpack Accessories,Decathlon  Forclaz,Forclaz Travel 100 Compact 2 L Hiking Fanny Pack,4.58,1303,"Volume 2 L I  Weight: 1.6 oz (45 g)
1 x Large Main Compartment + 1 x Zipped Pocket on the Outside.
Compact design: The bag folds up to occupy very little space.
2 year warranty",8560408,Black,2 L,$14.99,,https://www.decathlon.com/cdn/shop/files/8560408-product_image-p2621813.jpg?v=1712057882&width=675,"https://www.decathlon.com/cdn/shop/files/8560408-product_image-p2621813.jpg?v=1712057882&width=150, https://www.decathlon.com/cdn/shop/files/8560408-product_image-p1800980.jpg?v=1703075292&width=150, https://www.decathlon.com/cdn/shop/files/8560408-product_image-p1800965.jpg?v=1703075293&width=150, https://www.decathlon.com/cdn/shop/files/8560408-product_image-p1800956.jpg?v=1703075293&width=150, https://www.decathlon.com/cdn/shop/files/8560408-product_image-p1801006.jpg?v=1703075293&width=150",https://www.decathlon.com/collections/backpack-accessories/products/backpacking-compact-2-liter-travel-fanny-pack-travel-100-309871
Hike & Camp / Bags & Backpacks / Women's Backpacks,Decathlon  Forclaz,Forclaz Women's MT900 Symbium2 50+10 L Backpacking Pack,5.0,3,"Adjustable straps and back. Multi-density foam. SYMBIUM technology.
10 storage areas. Large front access.
Volume: 50 L+ 10 L (adjustable with a height-adjustable hat).
Polyamide-reinforced bag bottom. Ripstop Cordura® fabric (500 deniers).
Ventilation channel between the supports, for better breathability.",8752034,Abyss Gray,One Size,$199.00,,https://www.decathlon.com/cdn/shop/files/8752034-product_image-p2604599.jpg?v=1710243612&width=675,"https://www.decathlon.com/cdn/shop/files/8752034-product_image-p2604599.jpg?v=1710243612&width=150, https://www.decathlon.com/cdn/shop/files/8752034-product_image-p2581320.jpg?v=1710243616&width=150, https://www.decathlon.com/cdn/shop/files/8752034-product_image-p2581345.jpg?v=1710243620&width=150, https://www.decathlon.com/cdn/shop/files/8752034-product_image-p2581336.jpg?v=1710243624&width=150, https://www.decathlon.com/cdn/shop/files/8752034-product_image-p2581330.jpg?v=1710243629&width=150, https://www.decathlon.com/cdn/shop/files/8752034-product_image-p2604513.jpg?v=1710243631&width=150, https://www.decathlon.com/cdn/shop/files/8752034-product_image-p2604596.jpg?v=1710243635&width=150, https://www.decathlon.com/cdn/shop/files/8752034-product_image-p2581327.jpg?v=1710243641&width=150, https://www.decathlon.com/cdn/shop/files/8752034-product_image-p2581329.jpg?v=1710243647&width=150, https://www.decathlon.com/cdn/shop/files/8752034-product_image-p2581334.jpg?v=1710243652&width=150",https://www.decathlon.com/collections/womens-backpacks-and-bags/products/forclaz-womens-mt900-symbium2-5010-l-backpacking-pack-342130
Hike & Camp / Bags & Backpacks / Women's Backpacks,Decathlon  Forclaz,Forclaz Women's MT500 Air 45+10 L Backpacking Pack,4.48,323,"Women's models are adapted to body shape (chest and hips) with a more open shoulder strap shape and a higher fitted belt for greater comfort and freedom of movement.
MT500 Air range features a ventilated back structure with mesh fabric that helps the back to breathe and dry quickly
Volume: 45 + 10 L I Dimensions: H 23.6” x L 11.8” x D 7.9”
Pack Weight: 3.5 lbs + Rain Cover Weight: 3.5 oz",8581391,Gray Blue,45+10 L,$139.00,,https://www.decathlon.com/cdn/shop/files/8581391-product_image-p2148630.jpg?v=1714170348&width=675,"https://www.decathlon.com/cdn/shop/files/8581391-product_image-p2148630.jpg?v=1714170348&width=150, https://www.decathlon.com/cdn/shop/files/8581391-product_image-p2148629.jpg?v=1714170352&width=150, https://www.decathlon.com/cdn/shop/files/8581391-product_image-p2148628.jpg?v=1700657828&width=150, https://www.decathlon.com/cdn/shop/files/8581391-product_image-p2148627.jpg?v=1700657828&width=150, https://www.decathlon.com/cdn/shop/files/8581391-product_image-p2148626.jpg?v=1700657828&width=150, https://www.decathlon.com/cdn/shop/files/8581391-product_image-p2480661.jpg?v=1700657829&width=150, https://www.decathlon.com/cdn/shop/files/8581391-product_image-p2710495.jpg?v=1714170360&width=150, https://www.decathlon.com/cdn/shop/files/8581391-product_image-p2710494.jpg?v=1714170364&width=150",https://www.decathlon.com/collections/womens-backpacks-and-bags/products/forclaz-womens-mt500-air-45-10-l-backpacking-backpack-324445
